n,k,graph_seed,num_edges,iterations,run,time,success,timed_out,modularity,optimal_modularity,error,timestamp,found_optimal,gap
100,2,2,284,10,2,0.006556034088134766,True,False,0.4088908450704225,0.4088908450704225,,2026-02-02T20:32:13.138195,True,0.0
100,2,3,312,10,3,0.006246328353881836,True,False,0.3790064102564103,0.3790064102564103,,2026-02-02T20:32:13.347535,True,0.0
100,2,4,261,10,4,0.006904125213623047,True,False,0.437566976409624,0.437566976409624,,2026-02-02T20:32:13.553286,True,0.0
100,2,5,253,10,5,0.005677938461303711,True,False,0.4169023106125701,0.4169023106125701,,2026-02-02T20:32:13.758721,True,0.0
100,2,6,267,10,6,0.006054878234863281,True,False,0.41321943076772016,0.4187111616097855,,2026-02-02T20:32:13.965754,False,0.005491730842065334
100,2,7,271,10,7,0.006001949310302734,True,False,0.41049958470064407,0.41049958470064407,,2026-02-02T20:32:14.172554,True,0.0
100,2,8,287,10,8,0.0058367252349853516,True,False,0.42680498731318817,0.42680498731318817,,2026-02-02T20:32:14.380415,True,0.0
100,2,9,301,10,9,0.006541013717651367,True,False,0.40630898113707353,0.40630898113707353,,2026-02-02T20:32:14.588965,True,0.0
100,2,10,249,10,10,0.006133079528808594,True,False,0.41795293624296387,0.41795293624296387,,2026-02-02T20:32:14.804859,True,0.0
100,2,11,296,10,11,0.006249904632568359,True,False,0.42356989590942296,0.42356989590942296,,2026-02-02T20:32:15.016201,True,0.0
100,2,12,303,10,12,0.005973100662231445,True,False,0.4009192998507771,0.4009192998507771,,2026-02-02T20:32:15.222637,True,0.0
100,2,13,278,10,13,0.005666017532348633,True,False,0.39190518089125814,0.3989441540292946,,2026-02-02T20:32:15.429785,False,0.007038973138036475
100,2,14,279,10,14,0.005755901336669922,True,False,0.43516912680977893,0.43516912680977893,,2026-02-02T20:32:15.639296,True,0.0
100,2,15,326,10,15,0.006256818771362305,True,False,0.39090199104219214,0.39090199104219214,,2026-02-02T20:32:15.845526,True,0.0
100,2,16,294,10,16,0.0057408809661865234,True,False,0.4017538988384469,0.4017538988384469,,2026-02-02T20:32:16.054143,True,0.0
100,2,17,280,10,17,0.006732940673828125,True,False,0.396626275510204,0.4056122448979591,,2026-02-02T20:32:16.263116,False,0.008985969387755088
100,2,18,277,10,18,0.005705118179321289,True,False,0.407557768249293,0.407557768249293,,2026-02-02T20:32:16.471525,True,0.0
100,2,19,244,10,19,0.006941795349121094,True,False,0.43036146197258807,0.43036146197258807,,2026-02-02T20:32:16.682406,True,0.0
100,2,0,264,25,0,0.00607609748840332,True,False,0.39582615932047754,0.39582615932047754,,2026-02-02T20:32:16.889471,True,0.0
100,2,1,309,25,1,0.006784915924072266,True,False,0.42146081419339965,0.42146081419339965,,2026-02-02T20:32:17.098285,True,0.0
100,2,2,284,25,2,0.006955146789550781,True,False,0.4088908450704225,0.4088908450704225,,2026-02-02T20:32:17.306416,True,0.0
100,2,3,312,25,3,0.0066051483154296875,True,False,0.3790064102564103,0.3790064102564103,,2026-02-02T20:32:17.514501,True,0.0
100,2,4,261,25,4,0.0062978267669677734,True,False,0.437566976409624,0.437566976409624,,2026-02-02T20:32:17.723946,True,0.0
100,2,5,253,25,5,0.006717205047607422,True,False,0.4169023106125701,0.4169023106125701,,2026-02-02T20:32:17.932416,True,0.0
100,2,6,267,25,6,0.0065460205078125,True,False,0.4187111616097855,0.4187111616097855,,2026-02-02T20:32:18.140827,True,0.0
100,2,7,271,25,7,0.006588935852050781,True,False,0.41049958470064407,0.41049958470064407,,2026-02-02T20:32:18.348203,True,0.0
100,2,8,287,25,8,0.006325244903564453,True,False,0.42680498731318817,0.42680498731318817,,2026-02-02T20:32:18.556603,True,0.0
100,2,9,301,25,9,0.006258964538574219,True,False,0.40630898113707353,0.40630898113707353,,2026-02-02T20:32:18.765021,True,0.0
100,2,10,249,25,10,0.006082057952880859,True,False,0.41795293624296387,0.41795293624296387,,2026-02-02T20:32:18.971631,True,0.0
100,2,11,296,25,11,0.0068361759185791016,True,False,0.42356989590942296,0.42356989590942296,,2026-02-02T20:32:19.178227,True,0.0
100,2,12,303,25,12,0.00621485710144043,True,False,0.4009192998507771,0.4009192998507771,,2026-02-02T20:32:19.386288,True,0.0
100,2,13,278,25,13,0.006685018539428711,True,False,0.3938460742197609,0.3989441540292946,,2026-02-02T20:32:19.593653,False,0.0050980798095336954
100,2,14,279,25,14,0.006418943405151367,True,False,0.43516912680977893,0.43516912680977893,,2026-02-02T20:32:19.800416,True,0.0
100,2,15,326,25,15,0.006201982498168945,True,False,0.39090199104219214,0.39090199104219214,,2026-02-02T20:32:20.008865,True,0.0
100,2,16,294,25,16,0.006088972091674805,True,False,0.4017538988384469,0.4017538988384469,,2026-02-02T20:32:20.216329,True,0.0
100,2,17,280,25,17,0.007421970367431641,True,False,0.40142857142857147,0.4056122448979591,,2026-02-02T20:32:20.427918,False,0.004183673469387639
100,2,18,277,25,18,0.005880117416381836,True,False,0.407557768249293,0.407557768249293,,2026-02-02T20:32:20.635225,True,0.0
100,2,19,244,25,19,0.006474971771240234,True,False,0.43036146197258807,0.43036146197258807,,2026-02-02T20:32:20.844609,True,0.0
100,2,0,264,50,0,0.007039070129394531,True,False,0.39582615932047754,0.39582615932047754,,2026-02-02T20:32:21.055291,True,0.0
100,2,1,309,50,1,0.007829904556274414,True,False,0.42146081419339965,0.42146081419339965,,2026-02-02T20:32:21.269556,True,0.0
